time,CDA,CU,D66,DPK,GL,PVDA,PVDD,PVV,SGP,SP,VVD
1382954279,0,946,0,0,1243,0,314,733,449,0,1994
1382954283,0,946,0,0,1243,0,314,733,449,0,1994
1382954285,0,947,0,0,1244,0,314,733,449,0,1995
1382954287,0,947,0,0,1244,0,314,733,449,0,1995
1382954320,0,949,0,0,1245,0,315,733,449,0,1999
1382954321,0,949,0,0,1246,0,315,733,449,0,1999
1382954324,0,949,0,0,1246,0,315,733,449,0,1999
1382954326,0,949,0,0,1246,0,315,733,449,0,1999
1382954336,0,949,0,0,1247,0,316,733,449,0,2000
1382954366,0,951,0,0,1248,0,316,733,449,0,2002
1382954376,0,952,0,0,1249,0,317,733,449,0,2002
1382954388,0,952,0,0,1249,0,317,733,449,0,2002
1382954546,0,952,0,0,1249,0,318,733,449,0,2002
1382955485,0,952,0,0,1250,0,318,733,449,0,2003
1382955766,0,954,0,0,1254,0,323,733,449,0,2008
1382955776,0,954,0,0,1254,0,323,733,449,0,2008
1382955779,0,954,0,0,1254,0,323,733,449,0,2008
1382956322,0,967,0,0,1267,0,333,733,449,0,2028
1382956495,0,974,0,0,1267,0,336,733,449,0,2036
1382956759,0,980,0,0,1275,0,342,733,449,0,2054
1382956763,0,980,0,0,1275,0,342,733,449,0,2055
1382956765,0,980,0,0,1276,0,342,733,449,0,2055
1382956768,0,980,0,0,1276,0,342,733,449,0,2055
1382956792,0,981,0,0,1277,0,343,733,449,0,2056
1382956820,0,981,0,0,1278,0,344,733,449,0,2057
1382956834,0,982,0,0,1279,0,344,733,449,0,2058
1382956837,0,982,0,0,1279,0,344,733,449,0,2058
1382957270,0,988,0,0,1297,0,354,733,449,0,2081
1382957283,0,988,0,0,1297,0,354,733,449,0,2081
1382957290,0,988,0,0,1298,0,354,733,449,0,2081
1382957292,0,988,0,0,1298,0,354,733,449,0,2081
1382957295,0,988,0,0,1298,0,354,733,449,0,2081
1382957298,0,989,0,0,1299,0,355,733,449,0,2081
1382957396,0,992,0,0,1301,0,357,733,449,0,2086
1382957640,0,996,0,0,1307,0,360,733,449,0,2092
1382957833,0,999,0,0,1310,0,362,733,449,0,2097
1382957913,0,1000,0,0,1311,0,363,733,449,0,2099
1382957921,0,1000,0,0,1312,0,364,733,449,0,2100
1382958233,0,1009,0,0,1319,0,368,733,449,0,2121
1382958616,0,1023,0,0,1329,0,374,733,449,0,2144
1382958763,0,1028,0,0,1331,0,381,733,449,0,2157
1382958813,0,1031,0,0,1332,0,381,733,449,0,2160
1382959117,0,1041,0,0,1341,0,392,733,449,0,2176
1382959124,0,1041,0,0,1342,0,392,733,449,0,2177
1382959334,0,1049,0,0,1350,0,397,733,449,0,2184
1382959339,0,1049,0,0,1351,0,398,733,449,0,2184
1382959347,0,1050,0,0,1351,0,398,733,449,0,2184
